検出器,説明,平均期間,中央値,標準偏差,最小値,最大値,有効データ数,総データ数
supreme_ultimate,最高究極サイクル（Supreme Ultimate Cycle）,7.518310118992713,8.0,1.9879401978379196,5.0,13.0,10841,10841
dudi,二重微分（Dual Differentiator）,13.213356701411309,13.0,0.8511323867574542,0.0,20.0,10841,10841
adaptive_ensemble,適応型アンサンブルサイクル（Adaptive Ensemble Cycle）,13.46010515635089,13.0,0.9692721806113924,13.0,21.0,10841,10841
hody,ホモダイン判別機（Homodyne Discriminator）,13.714694216400702,13.0,1.6447906100311196,0.0,24.0,10841,10841
adaptive_unified,適応型統合サイクル（Adaptive Unified Dominant Cycle）,13.714694216400702,13.0,1.6447906100311196,0.0,24.0,10841,10841
autocorr_perio,自己相関ピリオドグラム検出器（Autocorrelation Periodogram）,14.31380868923531,13.0,2.7773249843583354,8.0,24.0,10841,10841
quantum_adaptive,量子適応型サイクル（Quantum Adaptive Cycle）,14.985702425975463,15.0,1.388502336909119,13.0,18.0,10841,10841
bandpass_zero,バンドパスゼロクロッシング検出器（Bandpass Zero Crossings）,15.53740429849645,14.0,3.0754597068030267,13.0,31.0,10841,10841
practical,実践的サイクル検出器（Practical Cycle Detector）,16.95452449036067,17.0,2.834626195900764,7.0,23.0,10841,10841
cycle_period,サイクル周期検出器（Cycle Period Dominant Cycle）,17.526888663407433,17.0,4.090282805174855,13.0,29.0,10841,10841
cycle_period2,改良サイクル周期検出器（Enhanced Cycle Period）,17.71414076192233,17.0,3.9638287321713364,13.0,32.0,10841,10841
absolute_ultimate,絶対的究極サイクル検出器（Absolute Ultimate Cycle）,18.108015865695048,18.0,1.4969302112348275,13.0,21.0,10841,10841
dft_dominant,DFTドミナントサイクル検出器（DFT Dominant Cycle）,19.760907665344526,20.0,5.053867861221874,8.0,25.0,10841,10841
hody_e,拡張ホモダイン判別機（Enhanced Homodyne Discriminator）,23.629277741905728,21.0,10.3913509268048,13.0,65.0,10841,10841
