Detector,Description,Mean_Cycle,Std_Cycle,Min_Cycle,Max_Cycle,Median_Cycle,Valid_Count,NaN_Count,Calc_Time_Sec,Success_Rate,Performance_Score
adaptive_unified,適応型統合サイクル（Adaptive Unified Dominant Cycle）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.009479761123657227,100.0,9542.202233432397
practical,実践的サイクル検出器（Practical Cycle Detector）,16.641614835291406,3.051983478223412,6.0,23.0,17.0,17364,0,0.030364274978637695,100.0,3188.340877259567
dudi,二重微分（Dual Differentiator）,11.154054365353606,1.9843157263664066,0.0,19.0,11.0,17364,0,0.488086462020874,100.0,204.4628256255681
bandpass_zero,バンドパスゼロクロッシング検出器（Bandpass Zero Crossings）,15.187571988021194,3.6763349583264153,8.0,38.0,14.0,17364,0,0.5208613872528076,100.0,191.62176478781436
phac,位相累積（Phase Accumulation）,11.436477770099055,2.499584565579822,0.0,21.0,11.0,17364,0,0.5346221923828125,100.0,186.69876159374923
cycle_period2,改良サイクル周期検出器（Enhanced Cycle Period）,17.602568532596177,4.807203987035471,8.0,32.0,18.0,17364,0,0.5656824111938477,100.0,176.46568523156887
hody_e,拡張ホモダイン判別機（Enhanced Homodyne Discriminator）,23.978749136143744,11.576073609550505,8.0,65.0,22.0,17364,0,0.664635181427002,100.0,150.23244382248248
dudi_e,拡張二重微分（Enhanced Dual Differentiator）,19.133782538585578,8.921850363669309,8.0,65.0,17.0,17364,0,0.7549588680267334,100.0,132.2823294090435
ultra_supreme_dft,🚀🧠 Ultra Supreme DFT Cycle（究極至高DFT・次世代高性能）,10.436535360516011,5.916776064576595,8.0,30.0,8.0,17364,0,0.7563250064849854,100.0,132.0437053361483
hody,ホモダイン判別機（Homodyne Discriminator）,11.733356369500115,2.812105663473967,0.0,24.0,11.0,17364,0,0.7568447589874268,100.0,131.95314583109635
phac_e,拡張位相累積（Enhanced Phase Accumulation）,9.699838746832526,1.7271154769717596,8.0,14.0,9.0,17364,0,0.9092934131622314,100.0,109.85468921785784
dft_dominant,DFTドミナントサイクル検出器（DFT Dominant Cycle）,19.262151577977423,5.847051789487385,8.0,25.0,21.0,17364,0,1.0980169773101807,100.0,90.99040512071775
autocorr_perio,自己相関ピリオドグラム検出器（Autocorrelation Periodogram）,11.597730937571988,4.427401734725287,8.0,24.0,10.0,17364,0,1.2544760704040527,100.0,79.65106014949116
cycle_period,サイクル周期検出器（Cycle Period Dominant Cycle）,17.508523381709285,5.141735285831864,8.0,31.0,18.0,17364,0,1.8623859882354736,100.0,53.665746459054695
adaptive_ensemble,適応型アンサンブルサイクル（Adaptive Ensemble Cycle）,12.523900023036166,2.3199390314321433,8.0,24.0,12.0,17364,0,3.319124937057495,100.0,30.119348487116373
supreme_ultimate,最高究極サイクル（Supreme Ultimate Cycle）,7.581835982492513,1.968051537084104,5.0,13.0,8.0,17364,0,3.7729485034942627,100.0,26.497446880213378
absolute_ultimate,絶対的究極サイクル検出器（Absolute Ultimate Cycle）,17.331375259156875,1.7710342292995276,11.0,21.0,17.0,17364,0,7.3200273513793945,100.0,13.659285124943352
quantum_adaptive,量子適応型サイクル（Quantum Adaptive Cycle）,14.008005067956692,2.7704537388932757,8.0,18.0,15.0,17364,0,11.998570680618286,100.0,8.333631482459623
